央视频道,#genre#
东方卫视,http://hlsztemgsplive.miguvideo.com:8080/wd_r4/dfl/dongfangwshd/1200/01.m3u8?msisdn=ab9c1b6aff78713480d55a2032c86f00&mdspid=&spid=600697&netType=0&sid=5910022185&pid=2028597139&timestamp=20260830114453&Channel_ID=0116_2600034600-99000-201600010054210&ProgramID=651632648&ParentNodeID=-99&assertID=5910022185&client_ip=60.13.177.78&SecurityKey=20260830114453&promotionId=&mvid=5100043384&mcid=500020&playurlVersion=ZQ-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=64103ba1837fe7fc7698eb0652375145&sv=10004&ct=android&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=7e5ceef4b175ba807a8d48af28a11245
广东卫视,http://hlsztemgsplive.miguvideo.com:8080/ws_w/2018/gdws/gdws711/1000/01.m3u8?msisdn=f64fa2d44a642bc8d3b7172354860260&mdspid=&spid=699054&netType=0&sid=2202428795&pid=2028597139&timestamp=20260830114815&Channel_ID=0116_2600034600-99000-201600010042160&ProgramID=608831231&ParentNodeID=-99&assertID=2202428795&client_ip=116.178.218.240&SecurityKey=20260830114815&promotionId=&mvid=2202428795&mcid=500020&playurlVersion=ZQ-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=0d37cdbcd8c8fd8a02f76bde3cf9f031&sv=10004&ct=android&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=00be9ebd10ad36eb9455f6b9adfc6c3e
广东卫视,http://hlsztemgsplive.miguvideo.com:8080/ws_w/2018/gdws/gdws711/1000/01.m3u8?msisdn=f64fa2d44a642bc8d3b7172354860260&mdspid=&spid=699054&netType=0&sid=2202428795&pid=2028597139&timestamp=20260830114731&Channel_ID=0116_2600034600-99000-201600010003086&ProgramID=608831231&ParentNodeID=-99&assertID=2202428795&client_ip=116.178.218.53&SecurityKey=20260830114731&promotionId=&mvid=2202428795&mcid=500020&playurlVersion=ZQ-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=f0c5a405f60b025a59efdc21d96ec9f3&sv=10004&ct=android&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=1592f276aeb0a01b661ccb586d5ec199
广东卫视,http://hlsztemgsplive.miguvideo.com:8080/ws_w/2018/gdws/gdws711/1000/01.m3u8?msisdn=f64fa2d44a642bc8d3b7172354860260&mdspid=&spid=699054&netType=0&sid=2202428795&pid=2028597139&timestamp=20260830114648&Channel_ID=0116_2600034600-99000-201600010094484&ProgramID=608831231&ParentNodeID=-99&assertID=2202428795&client_ip=116.178.218.117&SecurityKey=20260830114648&promotionId=&mvid=2202428795&mcid=500020&playurlVersion=ZQ-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=ff038a39fa4485081f4fae3f2fa65de3&sv=10004&ct=android&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=14162779c718abfdf3a7c22f0d40ea4b
广东卫视,http://hlsztemgsplive.miguvideo.com:8080/ws_w/2018/gdws/gdws711/1000/01.m3u8?msisdn=ab9c1b6aff78713480d55a2032c86f00&mdspid=&spid=699054&netType=0&sid=2202428795&pid=2028597139&timestamp=20260830114532&Channel_ID=0116_2600034600-99000-201600010079689&ProgramID=608831231&ParentNodeID=-99&assertID=2202428795&client_ip=60.13.177.75&SecurityKey=20260830114532&promotionId=&mvid=2202428795&mcid=500020&playurlVersion=ZQ-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=0ad634b485d45d7817b3b8178a7a216e&sv=10004&ct=android&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=ec83eed578e49cf2c14aa80c338d9285
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
北京卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/bjws/51/20251127/01.m3u8?msisdn=ab9c1b6aff78713480d55a2032c86f00&mdspid=&spid=600697&netType=0&sid=5910022306&pid=2028597139&timestamp=20260830114418&Channel_ID=0116_2600034600-99000-201600010038105&ProgramID=630287636&ParentNodeID=-99&assertID=5910022306&client_ip=60.13.177.85&SecurityKey=20260830114418&promotionId=&mvid=5101042960&mcid=500020&playurlVersion=ZQ-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=7516a4690dada8376057f3f592c867e3&sv=10004&ct=android&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=1f9d6510562722ec9274fc77253dd35f
湖北卫视,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/hubeiwshd/2000/01.m3u8?msisdn=ab9c1b6aff78713480d55a2032c86f00&mdspid=&spid=600633&netType=0&sid=5910022163&pid=2028597139&timestamp=20260830114314&Channel_ID=0116_2600034600-99000-201600010098693&ProgramID=947472496&ParentNodeID=-99&assertID=5910022163&client_ip=116.178.218.148&SecurityKey=20260830114314&promotionId=&mvid=5900004355&mcid=500020&playurlVersion=ZQ-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=406277d359db1a5cef3bce9474ffc928&sv=10004&ct=android&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=53483c96fa7ec415b10fb885cea5d05f
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
山东卫视,https://hlsbkmgsplive.miguvideo.com/wd_r4/yg/shandongwshd/3000/01.m3u8?&HlsSubType=&encrypt=
